Date,Close (BNB),Close (BTC),Close (USDT),Close (ETH)
01-01-19,6.075273,3843.52002,1.018335,140.819412
02-01-19,6.188613,3943.409424,1.024012,155.047684
03-01-19,5.903535,3836.741211,1.019473,149.13501
04-01-19,6.065138,3857.717529,1.0172,154.58194
05-01-19,6.065543,3845.19458,1.018489,155.638596
06-01-19,6.395979,4076.632568,1.023578,157.746201
07-01-19,6.291411,4025.248291,1.013987,151.699219
08-01-19,6.640054,4030.8479,1.01935,150.359634
09-01-19,6.64155,4035.296387,1.01683,150.803116
10-01-19,5.915919,3678.924561,1.02346,128.625183
11-01-19,6.075342,3687.365479,1.023316,127.548325
12-01-19,5.976965,3661.301025,1.020881,125.96653
13-01-19,5.568757,3552.953125,1.020091,116.897804
14-01-19,6.159282,3706.052246,1.020856,129.068726
15-01-19,5.919048,3630.675293,1.020558,122.032715
16-01-19,6.186014,3655.006836,1.018522,123.547066
17-01-19,6.417832,3678.563965,1.017495,123.74192
18-01-19,6.56304,3657.839355,1.017251,121.010262
19-01-19,6.635449,3728.568359,1.016782,124.51902
20-01-19,6.493869,3601.013672,1.017146,119.474831
21-01-19,6.553025,3576.032471,1.013376,117.157852
22-01-19,6.523199,3604.577148,1.009036,118.747551
23-01-19,6.541402,3585.123047,1.008297,117.452606
24-01-19,6.505792,3600.865479,1.00854,117.362885
25-01-19,6.737325,3599.765869,1.010522,116.378342
26-01-19,7.006565,3602.460449,1.009264,116.488739
27-01-19,7.088199,3583.96582,1.008717,113.405289
28-01-19,6.206182,3470.450439,1.00883,106.589973
29-01-19,6.18167,3448.116943,1.009438,105.598213
30-01-19,6.174529,3486.181641,1.007188,108.907539
31-01-19,6.268436,3457.792725,1.00649,107.061012
01-02-19,6.562617,3487.945313,1.006309,107.609787
02-02-19,6.891695,3521.060791,1.0027,110.43026
03-02-19,6.738165,3464.013428,1.000047,107.492668
04-02-19,7.1005,3459.154053,0.999826,107.821602
05-02-19,7.81981,3466.357422,0.999532,107.44352
06-02-19,8.086174,3413.767822,1.001003,104.919289
07-02-19,7.730325,3399.47168,1.001078,104.535301
08-02-19,8.575567,3666.780273,1.001943,119.267746
09-02-19,8.871357,3671.203613,1.000295,119.430885
10-02-19,9.21154,3690.188232,1.004217,124.806488
11-02-19,9.551809,3648.430664,1.003165,121.298393
12-02-19,9.341781,3653.528564,1.003979,122.572289
13-02-19,8.941073,3632.070557,1.003968,122.553604
14-02-19,8.782048,3616.880859,1.006482,121.390205
15-02-19,9.273832,3620.810791,1.003441,122.100388
16-02-19,9.129251,3629.787598,1.003264,123.260216
17-02-19,9.216046,3673.836182,1.000956,133.598877
18-02-19,9.634436,3915.714355,1.005453,146.098373
19-02-19,10.563078,3947.094482,1.007616,145.346191
20-02-19,10.966056,3999.820557,1.006978,149.554337
21-02-19,10.492892,3954.118164,1.004418,146.130844
22-02-19,10.837115,4005.526611,1.00854,149.092453
23-02-19,10.781801,4142.526855,1.008529,158.795425
24-02-19,10.113093,3810.42749,1.012046,135.852661
25-02-19,9.842012,3882.696289,1.015052,139.822861
26-02-19,9.521595,3854.35791,1.010847,138.089676
27-02-19,9.899132,3851.047363,1.009045,136.125961
28-02-19,10.365178,3854.7854,1.010067,136.746246
01-03-19,11.393217,3859.58374,1.006868,136.443619
02-03-19,11.869744,3864.415039,1.011416,134.206955
03-03-19,11.537903,3847.175781,1.01022,132.24942
04-03-19,11.545945,3761.557129,1.011617,127.774124
05-03-19,13.811967,3896.375,1.011154,137.822388
06-03-19,14.517946,3903.942627,1.010583,138.789352
07-03-19,15.145886,3911.484375,1.008475,138.0345
08-03-19,14.366936,3901.131592,1.009525,135.127075
09-03-19,14.565879,3963.313721,1.005976,137.965332
10-03-19,14.494439,3951.599854,1.008822,136.758682
11-03-19,14.514414,3905.227295,1.00878,133.83403
12-03-19,15.406131,3909.15625,1.006598,134.442886
13-03-19,15.115124,3906.717285,1.010083,133.263077
14-03-19,15.051104,3924.369141,1.010707,133.711594
15-03-19,15.077102,3960.911133,1.009801,137.691788
